# pillbox-gtin version=2026-09-09 count=57672
#
# Штрихкоды упаковок. Собирается скриптом tools/extract_esklp.py —
# правьте исходники, а не этот файл.
#
# Два источника:
#   ЕСКЛП (Минздрав) — только ЖНВЛП: штрихкод там лежит в блоке
#     предельных цен, а он заполняется лишь для препаратов из перечня;
#   source/gtin_manual.tsv — коды с упаковок, внесённые вручную
#     (0 шт.): препараты вне перечня и БАДы.
#
# Код приведён к 14 знакам — так он приходит из кода маркировки.
#
# manual-gtins:
#
# Формат: код;название;действующее вещество;форма;дозировка;единица
gtin;name;inn;form;strength;unit
03596540070117;Глюкофаж Лонг;Метформин;TABLET;500;MG
03596540130088;Глюкофаж Лонг;Метформин;TABLET;750;MG
03596540130095;Глюкофаж Лонг;Метформин;TABLET;750;MG
03596540150123;Глюкофаж Лонг;Метформин;TABLET;1000;MG
03596540150130;Глюкофаж Лонг;Метформин;TABLET;1000;MG
03613430002086;Мизопростол;Мизопростол;TABLET;;
03660053064304;Тимоглобулин;Иммуноглобулин Антитимоцитарный;POWDER;25;MG
03660053197903;Пентаксим (вакцина для профилактики дифтерии и столбняка адсорбированная, коклюша ацеллюлярная, полиомиелита инактивированная и инфекций, вызываемых Haemophilus influenzae тип b, конъюгированная);Вакцина Для Профилактики Дифтерии, Столбняка, Коклюша, Полиомиелита И Инфекций, Вызываемых Haemophilus Influenzae Тип B;POWDER;;
03660053283262;Пентаксим (вакцина для профилактики дифтерии и столбняка адсорбированная, коклюша ацеллюлярная, полиомиелита инактивированная и инфекций, вызываемых Haemophilus influenzae тип b, конъюгированная);Вакцина Для Профилактики Дифтерии, Столбняка, Коклюша, Полиомиелита И Инфекций, Вызываемых Haemophilus Influenzae Тип B;POWDER;;
03663502000205;Педеа;Ибупрофен;INJECTION;5;MG
03664798000207;Зодак;Цетиризин;DROPS;10;MG
03664798002300;Тимоглобулин;Иммуноглобулин Антитимоцитарный;POWDER;25;MG
03664798002317;Капрелса;Вандетаниб;TABLET;100;MG
03664798002324;Капрелса;Вандетаниб;TABLET;300;MG
03664798002942;Лазолван;Амброксол;SYRUP;15;MG
03664798002959;Лазолван;Амброксол;SYRUP;30;MG
03664798003420;Но-шпа форте;Дротаверин;TABLET;80;MG
03664798010060;Джевтана;Кабазитаксел;INJECTION;40;MG
03664798010145;Метформин Санофи;Метформин;TABLET;1000;MG
